,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Brian Robinson,SF,14,RB,116,143,90,-0.37,9.2,,90
,Matthew Golden,GB,5,WR,90,105,91,-0.13,6.5,,91
,Travis Etienne,JAC,8,RB,89,89,92,0.03,5.8,,92
,Kyler Murray,ARI,8,QB,91,78,93,0.19,5.3,,93
,Emeka Egbuka,TB,9,WR,75,77,94,0.22,4.6,,94
,Jaylen Warren,PIT,5,RB,84,81,95,0.17,5.0,,95
,Khalil Shakir,BUF,7,WR,101,91,96,0.05,6.0,,96
,Ricky Pearsall,SF,14,WR,77,79,98,0.24,4.4,9,97
,Cam Skattebo,NYG,14,RB,104,122,100,-0.18,7.0,,98
,Chris Godwin,TB,9,WR,106,108,101,-0.06,6.5,,99
,Colston Loveland,CHI,5,TE,113,125,102,-0.18,7.4,,100
,Jauan Jennings,SF,14,WR,99,95,103,0.08,5.5,,101
,Justin Herbert,LAC,12,QB,121,98,104,0.06,6.4,,102
,Jordan Mason,MIN,6,RB,86,102,106,0.04,5.0,,103
,J.K. Dobbins,DEN,12,RB,96,113,108,-0.04,5.7,,104
,Brock Purdy,SF,14,QB,94,88,109,0.24,4.6,,105
,Zach Charbonnet,SEA,8,RB,93,93,110,0.18,4.6,,106
,Jayden Reed,GB,5,WR,117,109,111,0.02,6.2,,107
,Javonte Williams,DAL,10,RB,103,100,112,0.12,5.2,,108
,Dalton Kincaid,BUF,7,TE,123,119,113,-0.05,6.6,10,109
,Kyle Pitts,ATL,5,TE,127,141,114,-0.19,7.6,,110
