player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0036355,Justin Herbert,QB,LAC,16,18.72,17.19,-1.53,-0.24,18.72,17.19,-1.53,-0.24,18.72,17.19,-1.53,-0.24,-0.229,0.0,0.0,5.19
00-0036358,CeeDee Lamb,WR,DAL,13,11.43,9.38,-2.05,-1.51,14.3,12.27,-2.03,-1.57,17.18,15.15,-2.03,-1.58,-0.368,9.0,0.25,0.08
00-0036360,Clyde Edwards-Helaire,RB,KC,2,2.31,0.0,-2.31,-1.56,2.69,0.5,-2.19,-1.54,3.07,1.0,-2.07,-1.45,-0.04,1.0,0.02,3.5
00-0036389,Jalen Hurts,QB,PHI,16,18.35,18.12,-0.23,1.06,18.35,18.12,-0.23,1.06,18.35,18.12,-0.23,1.06,0.313,0.0,0.0,6.56
00-0036407,Jerry Jeudy,WR,CLE,17,5.82,3.65,-2.17,-1.63,7.55,5.12,-2.43,-1.97,9.27,6.59,-2.68,-2.23,-0.05,6.24,0.21,0.06
00-0036410,Tee Higgins,WR,CIN,15,7.96,9.8,1.84,2.38,9.84,11.77,1.93,2.39,11.71,13.73,2.02,2.47,0.308,6.53,0.18,0.0
00-0036414,Cam Akers,RB,MIN,2,1.57,3.0,1.43,2.18,1.79,3.0,1.21,1.86,2.0,3.0,1.0,1.62,0.475,0.25,0.01,1.25
00-0036415,Van Jefferson,WR,TEN,14,3.54,2.57,-0.97,-0.43,4.65,3.61,-1.04,-0.58,5.77,4.64,-1.13,-0.68,-0.024,3.71,0.12,0.0
00-0036422,Adam Trautman,TE,DEN,11,1.81,1.91,0.1,0.3,2.6,2.82,0.22,0.37,3.38,3.73,0.35,0.48,0.028,1.77,0.05,0.0
00-0036425,DeeJay Dallas,RB,JAX,2,1.2,1.0,-0.2,0.55,1.42,1.0,-0.42,0.23,1.64,1.0,-0.64,-0.03,-0.03,0.2,0.01,0.6
00-0036427,Tyler Johnson,WR,NYJ,9,1.87,2.67,0.8,1.34,2.46,3.33,0.87,1.33,3.04,4.0,0.96,1.41,0.06,2.0,0.08,0.0
00-0036429,Charlie Woerner,TE,ATL,6,1.01,0.5,-0.51,-0.31,1.62,1.17,-0.45,-0.3,2.23,1.83,-0.4,-0.27,-0.017,1.29,0.05,0.0
00-0036442,Joe Burrow,QB,CIN,8,17.34,16.12,-1.22,0.07,17.34,16.12,-1.22,0.07,17.34,16.12,-1.22,0.07,0.048,0.0,0.0,1.75
00-0036550,Rashod Bateman,WR,BAL,13,3.51,2.54,-0.97,-0.43,4.38,3.27,-1.11,-0.65,5.26,4.0,-1.26,-0.81,-0.032,2.92,0.12,0.0
00-0036554,Nico Collins,WR,HOU,15,9.99,9.73,-0.26,0.28,12.37,12.1,-0.27,0.19,14.75,14.47,-0.28,0.17,-0.055,8.0,0.24,0.13
00-0036555,Chuba Hubbard,RB,CAR,15,6.79,5.47,-1.32,-0.57,7.8,6.47,-1.33,-0.68,8.8,7.47,-1.33,-0.72,0.007,2.6,0.09,8.93
00-0036590,Quintin Morris,TE,JAX,5,2.33,2.0,-0.33,-0.13,3.0,2.6,-0.4,-0.25,3.67,3.2,-0.47,-0.34,0.03,0.82,0.03,0.0
00-0036613,Jaylen Waddle,WR,MIA,16,7.34,7.69,0.35,0.89,9.25,9.69,0.44,0.9,11.15,11.69,0.54,0.99,0.097,6.25,0.23,0.12
00-0036620,Dee Eskridge,WR,MIA,5,1.05,0.4,-0.65,-0.11,1.43,0.8,-0.63,-0.17,1.8,1.2,-0.6,-0.15,-0.006,0.64,0.02,0.0
