year,pid,name,pos,pred
2020,00-0029632,Mohamed Sanu,WR,3.0
2020,00-0029664,Josh Gordon,WR,3.2
2020,00-0030035,Adam Thielen,WR,6.29
2020,00-0030068,Marquise Goodwin,WR,0.31
2020,00-0030085,Kenny Stills,WR,2.89
2020,00-0030279,Keenan Allen,WR,9.05
2020,00-0030300,Jaron Brown,WR,0.83
2020,00-0030431,Robert Woods,WR,8.26
2020,00-0030525,Tavon Austin,WR,0.94
2020,00-0030564,DeAndre Hopkins,WR,9.27
2020,00-0030663,Willie Snead,WR,3.85
2020,00-0030669,Albert Wilson,WR,3.27
2020,00-0030670,Bennie Fowler,WR,1.6
2020,00-0030821,Allen Hurns,WR,2.38
2020,00-0031051,John Brown,WR,7.5
2020,00-0031166,Seth Roberts,WR,1.3
2020,00-0031228,Taylor Gabriel,WR,3.53
2020,00-0031235,Odell Beckham Jr.,WR,8.8
2020,00-0031236,Brandin Cooks,WR,5.27
2020,00-0031257,Paul Richardson,WR,2.13
2020,00-0031325,Sammy Watkins,WR,7.3
2020,00-0031344,Cody Latimer,WR,2.41
2020,00-0031381,Davante Adams,WR,11.22
2020,00-0031382,Jarvis Landry,WR,8.78
2020,00-0031408,Mike Evans,WR,10.93
2020,00-0031428,Allen Robinson,WR,9.1
2020,00-0031544,Amari Cooper,WR,8.53
2020,00-0031547,DeVante Parker,WR,8.36
2020,00-0031549,Nelson Agholor,WR,3.46
2020,00-0031588,Stefon Diggs,WR,7.2
2020,00-0031787,Jake Kumerow,WR,0.65
2020,00-0031868,Damiere Byrd,WR,2.42
2020,00-0031941,Jamison Crowder,WR,6.73
2020,00-0032009,Adam Humphries,WR,4.92
2020,00-0032054,Breshad Perriman,WR,4.73
2020,00-0032128,Chris Conley,WR,5.34
2020,00-0032160,Tyrell Williams,WR,4.6
2020,00-0032208,Phillip Dorsett,WR,3.8
2020,00-0032211,Tyler Lockett,WR,8.96
2020,00-0032355,Chester Rogers,WR,1.57
2020,00-0032385,Sterling Shepard,WR,7.51
2020,00-0032464,Kalif Raymond,WR,2.44
2020,00-0032543,Alex Erickson,WR,3.11
2020,00-0032626,Geronimo Allison,WR,2.12
2020,00-0032688,Robbie Chosen,WR,5.91
2020,00-0032765,Michael Thomas,WR,11.88
2020,00-0032775,Demarcus Robinson,WR,4.31
2020,00-0032778,Tajae Sharpe,WR,2.18
2020,00-0032791,Jakeem Grant,WR,3.5
2020,00-0032945,Duke Williams,WR,3.79
2020,00-0032951,Laquon Treadwell,WR,1.41
2020,00-0032980,Marcus Johnson,WR,2.58
2020,00-0033009,Tyler Boyd,WR,7.87
2020,00-0033040,Tyreek Hill,WR,9.58
2020,00-0033094,Marvin Hall,WR,1.07
2020,00-0033111,Pharoh Cooper,WR,1.92
2020,00-0033127,Will Fuller,WR,7.86
2020,00-0033251,Zach Pascal,WR,4.01
2020,00-0033282,Curtis Samuel,WR,6.82
2020,00-0033307,Kendrick Bourne,WR,3.86
2020,00-0033375,Tim Patrick,WR,2.27
2020,00-0033460,John Ross,WR,6.2
2020,00-0033466,Isaiah McKenzie,WR,2.97
2020,00-0033471,Isaiah Ford,WR,2.66
2020,00-0033536,Mike Williams,WR,7.82
2020,00-0033589,David Moore,WR,3.5
2020,00-0033681,Keelan Cole,WR,3.35
