player,team,pos,espn,sleeper_std,sleeper_half,sleeper_ppr,ffc_std,ffc_half,ffc_ppr
Elijah Sarratt,BAL,WR,,224,1013,208,,,
Devaughn Vele,NO,WR,,232,878,234,169.0,162.0,163.3
Samaje Perine,CIN,RB,,2647,649,2844,,,
Jack Bech,LV,WR,,231,853,229,,,
Skyler Bell,BUF,WR,323,2719,970,2888,,,
Brenen Thompson,LAC,WR,408,508,764,1671,,,
Ty Simpson,LAR,QB,274,242,831,244,,,
Chris Brooks,GB,RB,,671,1007,1750,,,
DJ Giddens,IND,RB,,1063,998,1969,,,
Ollie Gordon,MIA,RB,,2417,789,2709,,,
Jerome Ford,WAS,RB,457,1613,662,2272,,,
Isaiah Davis,NYJ,RB,,1340,1008,2125,,,
Emari Demercado,KC,RB,,1178,867,2040,,,
Adam Randall,BAL,RB,,259,633,1544,,,
Seth McGowan,IND,RB,,2679,984,2861,,,
Ricky Pearsall,SF,WR,263,244,990,254,,,
Aaron Anderson,,WR,,245,886,1263,,,
Aaron Bailey,BAL,QB,,246,1060,1540,,,
Aaron Dykes,,RB,,247,1061,1227,,,
Aaron Fuller,,WR,,248,1062,1020,,,
Aaron Lacombe,,WR,,249,1063,1094,,,
Aaron Parker,,WR,,250,1064,492,,,
Aaron Peck,,TE,,251,1065,1270,,,
Aaron Shampklin,,RB,329,253,1066,1541,,,
Abram Smith,,RB,,254,230,1253,,,
Aca'Cedric Ware,,RB,,255,432,893,,,
Adam Choice,,RB,,256,1067,595,,,
Adam Humphries,,WR,,257,1068,1542,,,
Adam Prentice,DEN,FB,398,258,640,1543,,,
Adam Shaheen,,TE,,260,380,466,,,
Adam Thielen,,WR,,261,714,1207,,,
Adam Trautman,DEN,TE,299,262,519,1342,,,
Adam Zaruba,,TE,,263,467,1545,,,
Ademola Faleye,,TE,,264,1069,1546,,,
Adonis Jennings,,WR,,265,445,1547,,,
Adrian Coxson,,WR,,266,813,889,,,
Adrian Killins,DEN,RB,,267,1070,1393,,,
Adrian Martinez,SF,QB,,268,554,917,,,
Adrian Peterson,,RB,,269,602,1548,,,
Aeneas Dennis,,QB,,270,1071,1210,,,
Ahmad Fulwood,,WR,,271,1072,502,,,
Ahmad Wagner,,WR,,272,1073,1261,,,
Ahmani Marshall,CLE,RB,,273,1074,1549,,,
Ahmarean Brown,,WR,,274,928,1181,,,
Aidan O'Connell,LV,QB,399,275,418,1140,,,
Aidan Robbins,,RB,,276,1075,1418,,,
Ainias Smith,,WR,,277,1076,1550,,,
AJ Dillon,CAR,RB,330,278,945,1551,,,
A.J. Green,,WR,,279,717,1215,,,
AJ Henning,MIA,WR,,280,1077,1377,,,
AJ McCarron,,QB,,281,236,1530,,,
A.J. Ouellette,,RB,,282,995,1027,,,
A.J. Richardson,,WR,,283,981,1552,,,
A.J. Rose,,RB,,284,1012,1553,,,
Ajou Ajou,,WR,,285,1078,1554,,,
Akrum Wadley,,RB,,286,1079,1555,,,
Al Riles,IND,WR,,287,1080,1556,,,
Al-Jay Henderson,,RB,,288,1081,1414,,,
Albert Okwuegbunam,LV,TE,400,289,1082,1557,,,
Albert Wilson,,WR,,290,1083,1558,,,
Alec Bloom,,TE,,291,1084,1559,,,
Alec Holler,,TE,,292,1085,1220,,,
Alec Ingold,LAC,FB,,293,530,1146,,,
Aleva Hifo,,WR,,294,1086,619,,,
Alex Armah,,FB,,295,1087,360,,,
Alex Bachman,LAR,WR,,296,1088,1224,,,
Alex Barnes,,RB,,297,1089,746,,,
Alex Bullock,,WR,,298,1090,1560,,,
Alex Ellis,,TE,,299,1091,650,,,
Alex Erickson,,WR,,300,1092,882,,,
