name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Kayshon Boutte,WR,8.424332339792828,8.428571428571429,24.320328542094455,1.1,0.1174870076657038,3,Romeo Doubs,59,Kyle Williams,46,,
Mark Andrews,TE,8.412893740695498,7.176470588235294,30.986995208761122,2.2,0.6993874719127694,1,,,,,133,Matthew Hibner
Cade Otton,TE,8.3927327014716,7.733333333333333,27.381245722108144,1.3,0.527905655819415,1,,,,,185,Bauer Sharp
Dallas Goedert,TE,8.392201274914328,11.866666666666667,31.66050650239562,3.2,0.6333519587587765,1,,,Eli Stowers,68,54,Eli Stowers
Tyjae Spears,RB,8.320489549408148,7.615384615384615,25.21286789869952,1.1,0.2366472837839615,2,Tony Pollard,61,Nicholas Singleton,53,165,Nicholas Singleton
DJ Moore,WR,8.195767600331777,9.294117647058824,29.38261464750171,2.2,0.2030110397776259,1,,,Khalil Shakir,49,125,Skyler Bell
Shedeur Sanders,QB,8.158033182465724,9.5,24.56399726214921,0.3,0.025679883624781068,1,,,,,182,Taylen Green
Zach Charbonnet,RB,8.157251460699136,10.75,25.645448323066393,0.7,0.21538345978503226,2,Jadarian Price,75,Emanuel Wilson,60,32,Jadarian Price
Brenton Strange,TE,8.106457138186714,9.333333333333334,25.678302532511978,1.1,0.3715475943255741,1,,,,,56,Nate Boerkircher
Tua Tagovailoa,QB,8.079726965803474,10.785714285714286,28.501026694045173,0.4,0.16296215026344207,2,Michael Penix Jr.,10,,,,
Juwan Johnson,TE,8.035937106427221,10.058823529411764,29.965776865160848,2.4,0.5586292926328148,1,,,,,73,Oscar Delp
Joe Flacco,QB,7.99236977083258,10.23076923076923,41.62354551676933,1.1,0.07661404882220024,2,Joe Burrow,,,,,
Oronde Gadsden II,TE,7.887582884472531,8.266666666666667,23.186858316221766,0.4,0.13105818506242423,2,David Njoku,2,,,,
Woody Marks,RB,7.861881778856345,8.1875,25.672826830937716,0.4,0.16256166561954516,2,David Montgomery,77,,,,
Tyler Huntley,QB,7.855189811582878,7.2,28.57494866529774,0.7,0.05705187740480296,2,Lamar Jackson,,,,,
AJ Barner,TE,7.8330317113301176,8.176470588235293,24.331279945242983,0.4,0.1971525154875495,1,,,,,,
Marvin Mims Jr.,WR,7.809097845486134,5.466666666666667,24.45448323066393,2.0,0.2035764653915339,4,Troy Franklin,26,Pat Bryant,4,,
Jalen Coker,WR,7.771127894394958,7.818181818181818,24.83778234086242,1.2,0.18108039969746567,2,Tetairoa McMillan,92,Chris Brazzell,118,83,Chris Brazzell II
Matthew Golden,WR,7.749481034994346,4.357142857142857,23.085557837097877,1.3,0.14729362015455968,3,Jayden Reed,27,,,,
Mike Evans,WR,7.739616078873187,10.375,33.02943189596167,1.2,0.2267263894206586,1,,,Ricky Pearsall,47,33,De'Zhaun Stribling
David Montgomery,RB,7.69370171190491,9.117647058823529,29.234770704996578,1.1,0.42713238075046384,1,,,Woody Marks,77,,
Dillon Gabriel,QB,7.371747607978278,6.4,25.675564681724847,0.4,0.03253711120215412,2,Shedeur Sanders,,,,182,Taylen Green
Kyle Monangai,RB,7.36024297974055,7.882352941176471,24.238193018480494,0.3,0.0778114282297087,2,D'Andre Swift,54,,,,
Spencer Rattler,QB,7.3365694538798065,10.444444444444445,25.924709103353866,0.4,0.23765900386284042,3,Zach Wilson,,,,,
Pat Bryant,WR,7.301023228317165,5.538461538461538,23.72621492128679,0.5,0.04975000266096157,5,Marvin Mims Jr.,4,,,,
Pat Freiermuth,TE,7.273234583675501,7.133333333333334,27.852156057494867,2.2,0.5556101652178791,7,Darnell Washington,,,,169,Riley Nowakowski
Theo Johnson,TE,7.241117140884382,8.066666666666666,25.51129363449692,0.4,0.11933580973827701,2,Isaiah Likely,88,,,,
Jordan Mason,RB,7.160852204141911,7.3125,27.274469541409992,1.8000000000000003,0.34048809173772415,2,Aaron Jones,32,Demond Claiborne,47,198,Demond Claiborne
Darius Slayton,WR,7.132640304609002,6.714285714285714,29.634496919917865,5.3,0.3978251510686093,7,Braxton Berrios,,,,74,Malachi Fields
Rachaad White,RB,7.055530908855745,7.588235294117647,27.63586584531143,0.6,0.3599480738908605,1,,,Jacory Croskey-Merritt,16,187,Kaytron Allen
Dylan Sampson,RB,7.045050250824722,5.0,21.963039014373717,0.4,0.1805712579940184,2,Quinshon Judkins,114,,,,
Xavier Legette,WR,7.0306475385184015,5.666666666666667,25.587953456536617,1.1,0.15866522382996873,8,Brycen Tremayne,,,,83,Chris Brazzell II
Blake Corum,RB,6.908566104047595,6.588235294117647,25.765913757700204,0.5,0.09337785795880157,2,Kyren Williams,87,Jarquez Hunter,118,,
T.J. Hockenson,TE,6.905003743075619,6.933333333333334,29.163586584531142,5.0,0.5476472016368563,1,,,,,159,Max Bredeson
Brady Cook,QB,6.8892935116304725,5.0,24.8870636550308,0.3,0.18680297397769516,2,Bailey Zappe,,,,110,Cade Klubnik
