Player,Team,POS,Average_ADP,Depth,Depth_Rank
Theo Johnson,NYG,TE34,259.5,TE1,1
Tyler Loop,BAL,K13,259.5,K1,1
Xavier Restrepo,TEN,WR96,261.0,WR2,2
Kendre Miller,NO,RB76,261.0,RB3,3
Dallas Cowboys,DST,DST18,261.5,DST20,20
Jimmy Garoppolo,LAR,QB39,262.0,QB2,2
Zack Moss,,RB79,262.5,NO TEAM,0
Olamide Zaccheaus,CHI,WR97,263.0,WR4,4
Trevor Etienne,CAR,RB80,263.5,RB3,3
Tory Horton,SEA,WR86,263.5,WR3,3
Chicago Bears,DST,DST24,264.0,DST21,21
Dontayvion Wicks,GB,WR88,264.5,WR4,4
Amari Cooper,,WR80,264.5,NO TEAM,0
Los Angeles Chargers,DST,DST19,265.0,DST22,22
Dameon Pierce,HOU,RB86,265.0,RB4,4
Tyler Conklin,LAC,TE35,268.0,TE1,1
Elic Ayomanor,TEN,WR89,269.0,WR3,3
Jordan James,SF,RB77,270.5,RB4,4
Tyler Lockett,TEN,WR87,271.0,WR4,4
Jaleel McLaughlin,DEN,RB81,271.0,RB3,3
Jalen Milroe,SEA,QB36,271.0,QB2,2
Noah Gray,KC,TE36,272.0,TE2,2
Kirk Cousins,ATL,QB37,273.0,QB2,2
New England Patriots,DST,DST21,276.0,DST23,23
Younghoe Koo,ATL,K16,276.5,K1,1
Antonio Gibson,NE,RB83,276.5,RB3,3
Andrei Iosivas,CIN,WR92,278.0,WR3,3
Harold Fannin,CLE,TE37,278.5,TE2,2
Miami Dolphins,DST,DST23,279.0,DST24,24
Troy Franklin,DEN,WR94,280.5,WR4,4
Cincinnati Bengals,DST,DST25,282.0,DST25,25
Calvin Austin,PIT,WR93,284.0,WR3,3
Devin Singletary,NYG,RB85,284.5,RB3,3
Kayshon Boutte,NE,WR95,285.0,WR4,4
Malik Washington,MIA,WR102,285.0,WR3,3
Cam Akers,NO,RB88,286.0,RB4,4
Jalen Coker,CAR,WR90,287.0,WR4,4
